iter	Passed	Remaining
569	16193	12216
570	16217	12184
571	16244	12154
572	16268	12123
573	16296	12094
574	16320	12062
575	16349	12035
576	16374	12004
577	16407	11979
578	16442	11955
579	16469	11926
580	16493	11894
581	16517	11863
582	16543	11832
583	16572	11805
584	16603	11778
585	16632	11750
586	16658	11720
587	16690	11694
588	16718	11666
589	16747	11637
590	16774	11608
591	16798	11577
592	16826	11548
593	16856	11521
594	16887	11495
595	16920	11469
596	16948	11440
597	16978	11413
598	17011	11388
599	17035	11357
600	17064	11328
601	17146	11336
602	17180	11311
603	17210	11283
604	17244	11258
605	17275	11231
606	17310	11207
607	17341	11180
608	17376	11156
609	17402	11126
610	17435	11100
611	17462	11071
612	17488	11040
613	17521	11014
614	17547	10984
615	17577	10957
616	17609	10930
617	17638	10902
618	17668	10874
619	17700	10848
620	17737	10825
621	17768	10798
622	17798	10770
623	17828	10743
624	17859	10715
625	17888	10687
626	17915	10657
627	17948	10632
628	17980	10605
629	18005	10574
630	18036	10547
631	18069	10521
632	18102	10495
633	18133	10468
634	18164	10441
635	18190	10410
636	18218	10382
637	18247	10353
638	18278	10326
639	18307	10297
640	18336	10269
641	18368	10242
642	18400	10216
643	18431	10189
644	18458	10159
645	18484	10129
646	18517	10102
647	18551	10077
648	18578	10047
649	18609	10020
650	18640	9993
651	18672	9966
652	18702	9938
653	18727	9907
654	18757	9879
655	18786	9851
656	18817	9824
657	18848	9796
658	18874	9766
659	18903	9738
660	18929	9707
661	18957	9679
662	18984	9649
663	19013	9621
664	19039	9591
665	19060	9558
666	19087	9529
667	19116	9500
668	19136	9468
669	19167	9440
670	19196	9412
671	19219	9381
672	19247	9352
673	19267	9319
674	19296	9290
675	19325	9262
676	19355	9234
677	19384	9206
678	19413	9177
679	19439	9147
680	19467	9119
681	19496	9090
682	19521	9060
683	19547	9030
684	19577	9002
685	19602	8972
686	19633	8945
687	19668	8919
688	19696	8890
689	19728	8863
690	19756	8834
691	19781	8804
692	19808	8775
693	19831	8744
694	19859	8715
695	19891	8688
696	19919	8659
697	19946	8630
698	19972	8600
699	20002	8572
700	20032	8544
701	20059	8515
702	20090	8487
703	20120	8459
704	20143	8428
705	20170	8399
706	20202	8372
707	20233	8344
708	20263	8316
709	20295	8289
710	20326	8262
711	20355	8233
712	20382	8204
713	20411	8175
714	20440	8147
715	20461	8115
716	20490	8087
717	20515	8057
718	20544	8029
719	20570	7999
720	20597	7970
721	20621	7940
722	20654	7913
723	20681	7884
724	20711	7855
725	20737	7826
726	20760	7795
727	20787	7766
728	20818	7739
729	20843	7709
730	20872	7680
731	20900	7652
732	20928	7623
733	20955	7594
734	20979	7564
735	21010	7536
736	21038	7507
737	21068	7479
738	21098	7451
739	21123	7421
740	21149	7392
741	21173	7362
742	21204	7334
743	21233	7306
744	21262	7277
745	21292	7249
746	21318	7220
747	21349	7192
748	21379	7164
749	21407	7135
750	21437	7107
751	21465	7078
752	21493	7050
753	21520	7021
754	21544	6991
755	21571	6962
756	21599	6933
757	21630	6905
758	21658	6877
759	21688	6849
760	21717	6820
761	21742	6790
762	21772	6763
763	21801	6734
764	21834	6707
765	21858	6677
766	21886	6648
767	21913	6619
768	21939	6590
769	21968	6562
770	21997	6533
771	22028	6505
772	22054	6476
773	22079	6446
774	22107	6418
775	22138	6390
776	22168	6362
777	22191	6332
778	22219	6303
779	22241	6273
780	22267	6243
781	22294	6214
782	22319	6185
783	22348	6157
784	22377	6128
785	22402	6099
786	22424	6069
787	22450	6039
788	22481	6012
789	22506	5982
790	22534	5954
791	22558	5924
792	22590	5896
793	22619	5868
794	22647	5839
795	22668	5809
796	22699	5781
797	22729	5753
798	22758	5725
799	22787	5696
800	22813	5667
801	22846	5640
802	22879	5612
803	22913	5585
804	22946	5558
805	22974	5529
806	23001	5500
807	23029	5472
808	23059	5444
809	23082	5414
810	23108	5385
811	23138	5357
812	23164	5328
813	23190	5299
814	23217	5270
815	23244	5241
816	23275	5213
817	23301	5184
818	23329	5155
819	23354	5126
820	23380	5097
821	23409	5069
822	23437	5040
823	23466	5012
824	23496	4984
825	23522	4955
826	23550	4926
827	23572	4896
828	23605	4869
829	23639	4841
830	23665	4812
831	23690	4783
832	23720	4755
833	23752	4727
834	23777	4698
835	23807	4670
836	23838	4642
837	23865	4613
838	23896	4585
839	23926	4557
840	23950	4528
841	23972	4498
842	23996	4469
843	24020	4439
844	24045	4410
845	24074	4382
846	24102	4353
847	24130	4325
848	24161	4297
849	24190	4268
850	24218	4240
851	24248	4212
852	24277	4183
853	24309	4155
854	24333	4126
855	24363	4098
856	24386	4069
857	24409	4039
858	24433	4010
859	24453	3980
860	24484	3952
861	24515	3924
862	24541	3895
863	24568	3867
864	24598	3839
865	24667	3816
866	24691	3787
867	24720	3759
868	24744	3730
869	24773	3701
870	24799	3672
871	24821	3643
872	24848	3614
873	24875	3586
874	24906	3558
875	24934	3529
876	24964	3501
877	24988	3472
878	25015	3443
879	25045	3415
880	25078	3387
881	25110	3359
882	25141	3331
883	25171	3303
884	25193	3273
885	25224	3245
886	25250	3216
887	25275	3187
888	25301	3159
889	25329	3130
890	25354	3101
891	25381	3073
892	25409	3044
893	25434	3015
894	25465	2987
895	25492	2959
896	25521	2930
897	25548	2901
898	25581	2874
899	25611	2845
900	25641	2817
901	25673	2789
902	25701	2760
903	25731	2732
904	25755	2703
905	25777	2674
906	25803	2645
907	25829	2617
908	25854	2588
909	25880	2559
910	25904	2530
911	25932	2502
912	25962	2474
913	25987	2445
914	26016	2416
915	26045	2388
916	26073	2359
917	26104	2331
918	26135	2303
919	26166	2275
920	26196	2246
921	26219	2218
922	26249	2189
923	26280	2161
924	26311	2133
925	26337	2104
926	26364	2076
927	26389	2047
928	26415	2018
929	26447	1990
930	26479	1962
931	26506	1933
932	26535	1905
933	26565	1877
934	26590	1848
935	26618	1820
936	26645	1791
937	26674	1763
938	26702	1734
939	26731	1706
940	26759	1677
941	26786	1649
942	26812	1620
943	26843	1592
944	26871	1563
945	26900	1535
946	26929	1507
947	26954	1478
948	26985	1450
949	27012	1421
950	27040	1393
951	27069	1364
952	27095	1336
953	27124	1307
954	27151	1279
955	27180	1250
956	27207	1222
957	27234	1194
958	27261	1165
959	27291	1137
960	27321	1108
961	27349	1080
962	27376	1051
963	27406	1023
964	27435	995
965	27461	966
966	27485	937
967	27516	909
968	27542	881
969	27568	852
970	27594	824
971	27618	795
972	27648	767
973	27677	738
974	27702	710
975	27730	681
976	27761	653
977	27787	625
978	27816	596
979	27845	568
980	27890	540
981	27922	511
982	27948	483
983	27974	454
984	28002	426
985	28031	398
986	28062	369
987	28089	341
988	28124	312
989	28154	284
990	28184	255
991	28215	227
992	28240	199
993	28271	170
994	28298	142
995	28329	113
996	28358	85
997	28390	56
998	28421	28
999	28449	0
