iter	Passed	Remaining
558	8704	22439
559	8720	22423
560	8733	22401
561	8747	22383
562	8762	22364
563	8776	22345
564	8791	22329
565	8806	22312
566	8821	22294
567	8835	22274
568	8848	22252
569	8862	22234
570	8879	22221
571	8894	22204
572	8911	22192
573	8924	22172
574	8939	22155
575	8956	22142
576	8971	22125
577	8986	22108
578	9000	22088
579	9015	22072
580	9030	22056
581	9046	22041
582	9061	22024
583	9076	22007
584	9092	21993
585	9105	21972
586	9119	21953
587	9135	21938
588	9150	21919
589	9165	21904
590	9180	21887
591	9196	21872
592	9211	21855
593	9227	21840
594	9240	21820
595	9256	21804
596	9271	21787
597	9286	21771
598	9306	21765
599	9321	21749
600	9340	21743
601	9361	21739
602	9383	21739
603	9404	21736
604	9423	21729
605	9443	21722
606	9463	21716
607	9484	21713
608	9503	21707
609	9525	21704
610	9544	21698
611	9564	21691
612	9585	21689
613	9604	21680
614	9630	21687
615	9652	21687
616	9673	21682
617	9692	21673
618	9714	21673
619	9736	21672
620	9752	21656
621	9767	21639
622	9780	21616
623	9796	21602
624	9810	21583
625	9826	21568
626	9841	21551
627	9860	21541
628	9876	21526
629	9891	21509
630	9906	21492
631	9920	21474
632	9937	21461
633	9954	21448
634	9971	21435
635	9987	21419
636	10002	21401
637	10018	21386
638	10033	21371
639	10050	21357
640	10066	21342
641	10083	21328
642	10098	21311
643	10112	21293
644	10130	21282
645	10147	21269
646	10163	21254
647	10179	21238
648	10193	21220
649	10209	21204
650	10224	21187
651	10240	21171
652	10256	21157
653	10275	21148
654	10295	21140
655	10315	21133
656	10337	21130
657	10359	21128
658	10378	21119
659	10400	21116
660	10421	21111
661	10442	21105
662	10463	21100
663	10479	21086
664	10499	21078
665	10521	21074
666	10540	21065
667	10562	21060
668	10582	21053
669	10601	21044
670	10622	21039
671	10643	21034
672	10712	21122
673	10731	21113
674	10751	21103
675	10769	21093
676	10790	21086
677	10809	21077
678	10830	21070
679	10851	21065
680	10873	21060
681	10894	21054
682	10915	21047
683	10934	21038
684	10954	21028
685	10973	21019
686	10992	21008
687	11011	20997
688	11029	20986
689	11049	20977
690	11070	20970
